mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.043532800674438474,0.0006954189812946634,0.02849717140197754,0.0013978219318553854,1000.0,0.01,scale,"{'svr__C': 1000, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",-277.1306914962154,-456.73665308466275,-1553.1661266235544,-1095.2630221129866,-180.67243493745312,-712.5937856509744,527.4521602843867,1
0.058203840255737306,0.015092104748854366,0.035344171524047854,0.010923729385199206,1000.0,0.1,scale,"{'svr__C': 1000, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",-277.14857016324896,-456.76229806156476,-1553.187298646237,-1095.34074186253,-180.65151403471296,-712.6180845536586,527.4689658534186,2
0.05049605369567871,0.011313351401756764,0.030683374404907225,0.007016046054644607,1000.0,0.2,scale,"{'svr__C': 1000, 'svr__epsilon': 0.2, 'svr__gamma': 'scale'}",-277.19413572959894,-456.79072765613466,-1553.2111816993074,-1095.426958044106,-180.62834990556016,-712.6502706069415,527.4834808654948,3
0.07073545455932617,0.02313120843839963,0.041928577423095706,0.009041903339571031,1000.0,0.5,scale,"{'svr__C': 1000, 'svr__epsilon': 0.5, 'svr__gamma': 'scale'}",-277.33086310547947,-456.87643672768763,-1553.3224060556051,-1095.6858112737075,-180.59927805911332,-712.7629590443187,527.5314778392136,4
0.06349730491638184,0.017237464049548026,0.034789085388183594,0.008842266963896558,1000.0,1.0,scale,"{'svr__C': 1000, 'svr__epsilon': 1.0, 'svr__gamma': 'scale'}",-277.5570278146224,-457.01960243503794,-1553.589975390784,-1096.0578092114633,-180.57256980387456,-712.9593969311566,527.6249232306451,5
0.052701377868652345,0.018270031586393353,0.03543858528137207,0.014539883832175625,1000.0,1.0,auto,"{'svr__C': 1000, 'svr__epsilon': 1.0, 'svr__gamma': 'auto'}",-289.52337978403733,-464.6457163060683,-1521.8033792444655,-1149.2420181163566,-168.36475267846282,-718.7158492258782,525.7274009806387,6
0.05617156028747559,0.015463194431648272,0.03915419578552246,0.012518743312598493,1000.0,0.5,auto,"{'svr__C': 1000, 'svr__epsilon': 0.5, 'svr__gamma': 'auto'}",-289.519639440965,-464.81523813639177,-1521.6343381265922,-1149.1290104850993,-168.5632815367216,-718.7323015451541,525.5999129358166,7
0.0637202262878418,0.012563116992363852,0.052974510192871097,0.015225539982271986,1000.0,0.2,auto,"{'svr__C': 1000, 'svr__epsilon': 0.2, 'svr__gamma': 'auto'}",-289.51464943734953,-464.9173496950711,-1521.5346951428,-1149.0612967898578,-168.6803575375868,-718.741669720533,525.5248216108755,8
0.0525238037109375,0.009701431809467528,0.04438529014587402,0.021809152368866904,1000.0,0.1,auto,"{'svr__C': 1000, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",-289.5130155357325,-464.95154293555674,-1521.5064465193752,-1149.0388945072823,-168.71917738520165,-718.7458153766296,525.5013599494753,9
0.06008543968200684,0.02125138527090689,0.041069984436035156,0.012419479856855502,1000.0,0.01,auto,"{'svr__C': 1000, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",-289.51162265264435,-464.9823110054925,-1521.4888352211385,-1149.028545800044,-168.75418071780982,-718.7530990794259,525.4842129490211,10
0.06007604598999024,0.020573138392390167,0.03354268074035645,0.007314476969268585,1000.0,0.01,0.01,"{'svr__C': 1000, 'svr__epsilon': 0.01, 'svr__gamma': 0.01}",-264.0164016483286,-462.3428452170925,-1607.7649390651832,-1061.472877822652,-217.95043890378847,-722.7095005314089,534.9870315306165,11
0.04685988426208496,0.006262335999399486,0.030679988861083984,0.006565550844557018,1000.0,0.1,0.01,"{'svr__C': 1000, 'svr__epsilon': 0.1, 'svr__gamma': 0.01}",-264.0293441297709,-462.35087165184217,-1607.782850558076,-1061.5202928595809,-217.9579712535124,-722.7282660905564,534.9945409033244,12
0.0591792106628418,0.01833327098361067,0.03419032096862793,0.0035595814736106507,1000.0,0.2,0.01,"{'svr__C': 1000, 'svr__epsilon': 0.2, 'svr__gamma': 0.01}",-264.0428926672099,-462.3598050331979,-1607.8026790396232,-1061.5731299152085,-217.96633003631536,-722.748967338311,535.0030234400347,13
0.04992966651916504,0.007038890454588854,0.03717451095581055,0.0119355631395073,1000.0,0.5,0.01,"{'svr__C': 1000, 'svr__epsilon': 0.5, 'svr__gamma': 0.01}",-264.08339027592774,-462.3869703264634,-1607.8622650823843,-1061.7313497974258,-217.9918726365514,-722.8111696237505,535.0283715537246,14
0.049837160110473636,0.0035579818083661197,0.03218650817871094,0.003035169672422599,1000.0,1.0,0.01,"{'svr__C': 1000, 'svr__epsilon': 1.0, 'svr__gamma': 0.01}",-264.2216763866977,-462.5495812762462,-1607.961811559171,-1061.9445607924995,-218.03258052788297,-722.9420421084994,535.041095986554,15
0.052230119705200195,0.007078660217818708,0.02927432060241699,0.0030012047309626194,1000.0,1.0,0.1,"{'svr__C': 1000, 'svr__epsilon': 1.0, 'svr__gamma': 0.1}",-318.8238333586351,-481.36789644976653,-1563.8292509851426,-1228.9631754573397,-203.11774824735838,-759.2203808996485,538.2295025549879,16
0.06905093193054199,0.015379936293244368,0.048763084411621097,0.013155460588747706,1000.0,0.5,0.1,"{'svr__C': 1000, 'svr__epsilon': 0.5, 'svr__gamma': 0.1}",-318.82706263383096,-481.34940744253925,-1563.891934659634,-1228.9868254761268,-203.16829847590367,-759.2447057376069,538.2433074275998,17
0.05324053764343262,0.01609248659988244,0.027812814712524413,0.0004321720823122797,1000.0,0.2,0.1,"{'svr__C': 1000, 'svr__epsilon': 0.2, 'svr__gamma': 0.1}",-318.81557837395195,-481.3385869377475,-1563.9297257744427,-1229.0010372452005,-203.19902546743734,-759.2567907597561,538.2537352172753,18
0.06134796142578125,0.015434436979370768,0.030654287338256835,0.0039818455865514146,1000.0,0.1,0.1,"{'svr__C': 1000, 'svr__epsilon': 0.1, 'svr__gamma': 0.1}",-318.81211382420116,-481.3349752095641,-1563.942348484952,-1229.0058155809686,-203.20936056229843,-759.2609227323968,538.2571479646881,19
0.05218338966369629,0.008024120110637693,0.04596281051635742,0.01619987590982112,1000.0,0.01,0.1,"{'svr__C': 1000, 'svr__epsilon': 0.01, 'svr__gamma': 0.1}",-318.80904856661067,-481.33179710843604,-1563.953633253064,-1228.9918070081715,-203.21877504718424,-759.2610121966934,538.2569617452609,20
0.055102300643920896,0.01660177866568412,0.036734390258789065,0.007612579151415335,1000.0,0.5,0.001,"{'svr__C': 1000, 'svr__epsilon': 0.5, 'svr__gamma': 0.001}",-292.78813215665144,-541.5528336024423,-1827.9163135075303,-1375.1501615117584,-404.0018106383694,-888.2818502833504,604.8660369193179,21
0.05097699165344238,0.011095536442157302,0.041271638870239255,0.011633235161424931,1000.0,0.2,0.001,"{'svr__C': 1000, 'svr__epsilon': 0.2, 'svr__gamma': 0.001}",-292.76620613228835,-541.5232959743514,-1828.0170923691805,-1375.1113827081715,-404.00668553826466,-888.2849325444513,604.8980296571618,22
0.0560450553894043,0.01617757411937159,0.04110541343688965,0.012812649686890517,1000.0,0.1,0.001,"{'svr__C': 1000, 'svr__epsilon': 0.1, 'svr__gamma': 0.001}",-292.7589929180846,-541.5135033049266,-1828.0506950290462,-1375.0979588600887,-404.00842021115363,-888.28591406466,604.9085749477216,23
0.05694904327392578,0.017618951264606917,0.033897686004638675,0.006610372444996469,1000.0,0.01,0.001,"{'svr__C': 1000, 'svr__epsilon': 0.01, 'svr__gamma': 0.001}",-292.7525221675978,-541.5047034193252,-1828.0809415718588,-1375.0862717758573,-404.01003276459585,-888.2868943398469,604.9181167927143,24
0.04725627899169922,0.005705346326663333,0.030414915084838866,0.0024660116051915125,1000.0,1.0,0.001,"{'svr__C': 1000, 'svr__epsilon': 1.0, 'svr__gamma': 0.001}",-292.82525370802284,-541.6020416934665,-1827.7484458139843,-1375.4965970628464,-403.9939102079256,-888.3332496972491,604.857989511475,25
0.051346635818481444,0.010205782738666376,0.036538219451904295,0.008551585019669147,100.0,0.01,auto,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",-302.3092497655559,-535.6225552956295,-1820.616657365987,-1439.5176759501362,-395.5614723297216,-898.7255221414059,613.6887833970173,26
0.06127634048461914,0.017967506430138214,0.04188017845153809,0.011093680403316422,100.0,0.1,auto,"{'svr__C': 100, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",-302.29199180720684,-535.610904525118,-1820.6329981759093,-1439.5452136086717,-395.5526417544368,-898.7267499742686,613.7047274104995,27
0.05770044326782227,0.01335823993771208,0.03999457359313965,0.014696420782075925,100.0,0.2,auto,"{'svr__C': 100, 'svr__epsilon': 0.2, 'svr__gamma': 'auto'}",-302.28011635989407,-535.5977163433213,-1820.6512203990865,-1439.5758933684094,-395.54268904572245,-898.7295271032868,613.721110281845,28
0.05852179527282715,0.015187229702461306,0.035595130920410153,0.006199999412370353,100.0,0.5,auto,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 'auto'}",-302.2511160407131,-535.5547314867886,-1820.719329342765,-1439.66812301866,-395.51301920259476,-898.7412638183041,613.7734175010058,29
0.06249394416809082,0.02345748471624448,0.03433527946472168,0.008940469744789504,100.0,1.0,auto,"{'svr__C': 100, 'svr__epsilon': 1.0, 'svr__gamma': 'auto'}",-302.2047863203291,-535.4792597405799,-1820.884656596122,-1439.821692170329,-395.4640796673191,-898.7708948989359,613.8761176456683,30
0.05372066497802734,0.011509801809286757,0.03542723655700684,0.007676613744165061,100.0,0.01,scale,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",-300.76602154656945,-544.8634128031133,-1833.8425560717355,-1449.2922420627951,-408.1526857411697,-907.3833836450765,616.5433402435414,31
