mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5945194244384766,0.09849826480857497,0.12368636131286621,0.078026812968052,,sqrt,1,2,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-351.154102798712,-482.4988730608056,-1342.4593378392074,-981.0937001889496,-543.4902026332528,-740.1392433041855,368.0237469738376,123
0.8117694854736328,0.13026756158071975,0.13798599243164061,0.01842976603156118,,sqrt,1,2,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-346.9981761196316,-475.35879186098185,-1320.167894855433,-994.3071750190252,-471.99006843097214,-721.7644212572088,373.07344313551164,106
1.0482094287872314,0.03573537842301561,0.1852724075317383,0.015259131185898302,,sqrt,1,2,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",-350.538427012329,-468.0869038452919,-1336.5535384057953,-1009.3715332490027,-498.2711839544352,-732.5643172933709,377.4150419429745,117
0.3583871364593506,0.03571473290941625,0.11216249465942382,0.025035187880331825,,sqrt,1,5,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",-340.4357553365047,-477.4377044282853,-1464.8145563242606,-1036.01420386009,-523.4540874105592,-768.4312614719399,420.57616283632154,182
0.7319069862365722,0.019490424314717557,0.1153031349182129,0.008852181613956712,,sqrt,1,5,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-349.1363179262171,-471.12897592245645,-1466.2495704100986,-1051.1769333834068,-461.2822521330161,-759.7948099550389,430.1302078240493,139
1.135576057434082,0.042566982902093556,0.16421308517456054,0.01822699159922805,,sqrt,1,5,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",-355.4274026197845,-481.5073465967498,-1468.8610564928067,-1065.3781453670279,-474.36032081836373,-769.1068543789465,428.5212494077865,186
0.2839691638946533,0.0234040598370906,0.0865562915802002,0.017007825956411888,,sqrt,1,10,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-397.34585441314766,-490.62316428817377,-1554.1219481062353,-1073.5735136598132,-323.82582029772925,-767.8980601530199,473.9147484791953,174
0.6569117069244385,0.029585992090884132,0.11021690368652344,0.00583551121992983,,sqrt,1,10,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",-385.03701815170444,-472.18260800306837,-1548.7495114860262,-1112.2722267616944,-294.58259705480464,-762.5647922914598,487.0807059772183,147
1.0791646480560302,0.04694401932484975,0.157499361038208,0.007320361614042159,,sqrt,1,10,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",-384.5917863023166,-472.609356034109,-1552.9741462985528,-1116.8664615905109,-308.4289467355557,-767.0941393922091,486.48764821619966,166
0.27733545303344725,0.040797937551314306,0.0704793930053711,0.00954646530743037,,sqrt,2,2,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-338.37455117374725,-494.75444961882243,-1502.8081636275417,-1043.6212726124777,-525.9503428085811,-781.1017559682341,431.94468090988255,244
